partition,soil_moisture_pct_nfk,previous_irrigation_mm,onfarm_rain_gauge_mm,soil_type,irrigation_type,water_source,field_area_ha,irrigation_need
1,46.9,17.5,0.0,sand,drip,groundwater_well,11.5,2
1,64.7,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,54.6,18.0,0.0,sand,drip,groundwater_well,11.5,1
1,44.8,18.0,0.5,sand,drip,groundwater_well,11.5,1
1,40.1,18.0,0.0,sand,drip,groundwater_well,11.5,2
1,64.2,18.0,0.1,sand,drip,groundwater_well,11.5,1
1,50.9,18.0,0.0,sand,drip,groundwater_well,11.5,1
1,71.8,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,67.8,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,62.3,18.0,1.8,sand,drip,groundwater_well,11.5,0
1,59.3,18.0,7.3,sand,drip,groundwater_well,11.5,0
1,63.9,18.0,0.7,sand,drip,groundwater_well,11.5,0
1,62.6,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,63.1,18.0,0.7,sand,drip,groundwater_well,11.5,0
1,52.8,18.0,0.7,sand,drip,groundwater_well,11.5,0
1,55.5,18.0,0.5,sand,drip,groundwater_well,11.5,0
1,46.4,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,45.8,18.0,0.0,sand,drip,groundwater_well,11.5,1
1,69.4,18.0,2.3,sand,drip,groundwater_well,11.5,0
1,61.9,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,52.8,18.0,5.1,sand,drip,groundwater_well,11.5,0
1,59.0,18.0,0.5,sand,drip,groundwater_well,11.5,0
1,57.6,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,49.9,18.0,0.4,sand,drip,groundwater_well,11.5,0
1,46.7,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,43.9,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,38.5,18.0,0.9,sand,drip,groundwater_well,11.5,1
1,60.3,18.0,0.1,sand,drip,groundwater_well,11.5,0
1,57.4,18.0,6.5,sand,drip,groundwater_well,11.5,0
1,64.0,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,55.9,18.0,0.3,sand,drip,groundwater_well,11.5,0
1,52.1,18.0,0.5,sand,drip,groundwater_well,11.5,0
1,51.5,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,44.0,18.0,1.6,sand,drip,groundwater_well,11.5,0
1,47.6,18.0,0.5,sand,drip,groundwater_well,11.5,0
1,37.5,18.0,0.0,sand,drip,groundwater_well,11.5,1
1,40.2,18.0,0.0,sand,drip,groundwater_well,11.5,1
1,35.9,18.0,0.0,sand,drip,groundwater_well,11.5,1
1,54.2,18.0,0.1,sand,drip,groundwater_well,11.5,0
1,49.6,18.0,0.2,sand,drip,groundwater_well,11.5,0
1,39.9,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,44.3,18.0,0.1,sand,drip,groundwater_well,11.5,1
1,44.6,18.0,0.4,sand,drip,groundwater_well,11.5,1
1,36.8,18.0,0.0,sand,drip,groundwater_well,11.5,1
1,30.1,18.0,0.3,sand,drip,groundwater_well,11.5,1
1,26.2,18.0,0.0,sand,drip,groundwater_well,11.5,2
1,51.4,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,43.4,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,37.6,18.0,0.1,sand,drip,groundwater_well,11.5,1
1,63.5,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,60.9,18.0,12.4,sand,drip,groundwater_well,11.5,0
1,69.9,18.0,0.5,sand,drip,groundwater_well,11.5,0
1,66.4,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,62.9,18.0,0.3,sand,drip,groundwater_well,11.5,0
1,62.9,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,57.0,18.0,0.2,sand,drip,groundwater_well,11.5,0
1,48.8,18.0,0.2,sand,drip,groundwater_well,11.5,0
1,50.3,18.0,0.5,sand,drip,groundwater_well,11.5,0
1,47.0,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,41.4,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,42.8,18.0,0.0,sand,drip,groundwater_well,11.5,1
1,64.8,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,64.7,18.0,0.3,sand,drip,groundwater_well,11.5,0
1,54.2,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,50.5,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,47.8,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,49.3,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,46.4,18.0,2.0,sand,drip,groundwater_well,11.5,0
1,40.1,18.0,0.0,sand,drip,groundwater_well,11.5,1
1,60.4,18.0,3.1,sand,drip,groundwater_well,11.5,0
1,62.3,18.0,1.1,sand,drip,groundwater_well,11.5,0
1,60.3,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,55.5,18.0,0.1,sand,drip,groundwater_well,11.5,0
1,58.3,18.0,0.2,sand,drip,groundwater_well,11.5,0
1,54.2,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,50.4,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,44.7,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,44.3,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,49.9,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,37.2,18.0,0.5,sand,drip,groundwater_well,11.5,1
1,37.1,18.0,0.0,sand,drip,groundwater_well,11.5,1
1,54.5,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,62.9,18.0,0.1,sand,drip,groundwater_well,11.5,0
1,57.0,18.0,0.5,sand,drip,groundwater_well,11.5,0
1,48.0,0.0,0.2,sand,drip,groundwater_well,11.5,0
1,48.6,0.0,0.3,sand,drip,groundwater_well,11.5,0
1,,0.0,0.9,sand,drip,groundwater_well,11.5,0
1,47.4,0.0,0.0,sand,drip,groundwater_well,11.5,0
1,44.5,0.0,0.0,sand,drip,groundwater_well,11.5,1
1,45.2,0.0,0.0,sand,drip,groundwater_well,11.5,1
1,69.2,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,68.7,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,68.8,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,67.9,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,64.6,18.0,0.2,sand,drip,groundwater_well,11.5,0
1,64.6,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,64.6,18.0,0.2,sand,drip,groundwater_well,11.5,0
1,64.6,18.0,0.1,sand,drip,groundwater_well,11.5,0
1,,18.0,0.4,sand,drip,groundwater_well,11.5,0
1,64.6,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,64.6,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,64.6,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,64.6,18.0,6.8,sand,drip,groundwater_well,11.5,1
1,80.3,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,74.7,18.0,4.1,sand,drip,groundwater_well,11.5,0
1,83.2,18.0,0.9,sand,drip,groundwater_well,11.5,0
1,,18.0,5.5,sand,drip,groundwater_well,11.5,0
1,81.8,18.0,0.1,sand,drip,groundwater_well,11.5,0
1,86.5,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,76.5,18.0,0.4,sand,drip,groundwater_well,11.5,0
1,75.8,18.0,0.4,sand,drip,groundwater_well,11.5,0
1,70.3,18.0,0.2,sand,drip,groundwater_well,11.5,0
1,68.3,18.0,1.7,sand,drip,groundwater_well,11.5,0
1,69.0,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,60.8,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,56.1,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,53.8,18.0,0.6,sand,drip,groundwater_well,11.5,0
1,51.6,18.0,0.0,sand,drip,groundwater_well,11.5,1
1,71.4,18.0,0.4,sand,drip,groundwater_well,11.5,0
1,66.3,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,62.5,18.0,10.4,sand,drip,groundwater_well,11.5,0
1,80.6,18.0,4.4,sand,drip,groundwater_well,11.5,0
1,83.0,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,69.8,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,66.1,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,71.5,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,64.3,18.0,0.6,sand,drip,groundwater_well,11.5,0
1,56.7,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,54.7,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,52.4,18.0,0.2,sand,drip,groundwater_well,11.5,0
1,47.0,18.0,0.0,sand,drip,groundwater_well,11.5,1
1,49.9,18.0,0.0,sand,drip,groundwater_well,11.5,1
1,44.4,18.0,0.0,sand,drip,groundwater_well,11.5,2
1,58.5,18.0,0.1,sand,drip,groundwater_well,11.5,0
1,59.1,18.0,0.6,sand,drip,groundwater_well,11.5,1
1,76.2,17.1,0.0,sand,drip,groundwater_well,11.5,0
1,67.4,17.1,4.3,sand,drip,groundwater_well,11.5,0
1,68.6,17.1,0.5,sand,drip,groundwater_well,11.5,0
1,66.8,17.1,0.3,sand,drip,groundwater_well,11.5,0
1,51.8,17.1,0.3,sand,drip,groundwater_well,11.5,1
1,47.7,17.1,0.0,sand,drip,groundwater_well,11.5,1
1,43.8,17.1,0.0,sand,drip,groundwater_well,11.5,2
1,51.9,18.0,0.1,sand,drip,groundwater_well,11.5,1
1,51.9,18.0,0.6,sand,drip,groundwater_well,11.5,2
1,51.9,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,51.9,18.0,0.0,sand,drip,groundwater_well,11.5,1
1,51.9,18.0,0.0,sand,drip,groundwater_well,11.5,2
1,51.9,18.0,0.0,sand,drip,groundwater_well,11.5,1
1,51.9,18.0,0.6,sand,drip,groundwater_well,11.5,1
1,51.9,18.0,0.5,sand,drip,groundwater_well,11.5,0
1,51.9,18.0,0.0,sand,drip,groundwater_well,11.5,1
1,51.9,16.6,0.0,sand,drip,groundwater_well,11.5,0
1,64.4,16.6,1.0,sand,drip,groundwater_well,11.5,0
1,60.7,16.6,0.6,sand,drip,groundwater_well,11.5,1
1,48.0,16.6,0.0,sand,drip,groundwater_well,11.5,1
1,37.5,16.6,0.4,sand,drip,groundwater_well,11.5,2
1,55.1,18.0,0.0,sand,drip,groundwater_well,11.5,1
1,70.1,18.0,0.6,sand,drip,groundwater_well,11.5,0
1,61.5,18.0,0.0,sand,drip,groundwater_well,11.5,1
1,50.7,18.0,0.0,sand,drip,groundwater_well,11.5,1
1,39.9,18.0,0.0,sand,drip,groundwater_well,11.5,2
1,50.6,18.0,0.1,sand,drip,groundwater_well,11.5,1
1,67.2,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,55.2,18.0,0.0,sand,drip,groundwater_well,11.5,1
1,70.7,16.1,0.2,sand,drip,groundwater_well,11.5,0
1,58.6,16.1,0.0,sand,drip,groundwater_well,11.5,1
1,70.3,15.0,0.0,sand,drip,groundwater_well,11.5,0
1,62.5,15.0,0.0,sand,drip,groundwater_well,11.5,1
1,67.8,14.7,0.3,sand,drip,groundwater_well,11.5,0
1,61.2,14.7,0.3,sand,drip,groundwater_well,11.5,1
1,71.8,14.3,0.2,sand,drip,groundwater_well,11.5,0
1,56.2,14.3,0.4,sand,drip,groundwater_well,11.5,1
1,73.5,15.0,0.5,sand,drip,groundwater_well,11.5,0
1,64.6,15.0,0.0,sand,drip,groundwater_well,11.5,0
1,58.3,15.0,0.0,sand,drip,groundwater_well,11.5,1
1,43.0,15.0,0.0,sand,drip,groundwater_well,11.5,2
1,62.9,18.0,0.4,sand,drip,groundwater_well,11.5,1
1,53.2,18.0,0.2,sand,drip,groundwater_well,11.5,0
1,44.9,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,37.9,18.0,0.2,sand,drip,groundwater_well,11.5,1
1,60.2,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,48.7,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,45.7,18.0,0.2,sand,drip,groundwater_well,11.5,0
1,,18.0,0.0,sand,drip,groundwater_well,11.5,1
1,34.4,18.0,0.2,sand,drip,groundwater_well,11.5,1
1,28.6,18.0,0.0,sand,drip,groundwater_well,11.5,1
1,20.1,18.0,0.2,sand,drip,groundwater_well,11.5,2
1,41.9,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,34.8,18.0,0.0,sand,drip,groundwater_well,11.5,1
1,54.7,18.0,0.1,sand,drip,groundwater_well,11.5,0
1,53.0,18.0,0.3,sand,drip,groundwater_well,11.5,0
1,48.8,18.0,6.1,sand,drip,groundwater_well,11.5,0
1,52.3,18.0,0.5,sand,drip,groundwater_well,11.5,0
1,45.1,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,40.6,18.0,6.5,sand,drip,groundwater_well,11.5,1
1,45.0,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,37.4,18.0,0.3,sand,drip,groundwater_well,11.5,1
1,27.3,18.0,0.0,sand,drip,groundwater_well,11.5,1
1,48.6,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,41.6,18.0,0.5,sand,drip,groundwater_well,11.5,0
1,39.3,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,32.5,18.0,0.9,sand,drip,groundwater_well,11.5,1
1,61.3,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,55.3,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,48.3,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,46.9,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,35.3,18.0,0.5,sand,drip,groundwater_well,11.5,1
1,33.3,18.0,0.3,sand,drip,groundwater_well,11.5,1
1,31.4,18.0,0.0,sand,drip,groundwater_well,11.5,1
1,50.3,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,47.3,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,36.8,18.0,1.9,sand,drip,groundwater_well,11.5,1
1,60.2,18.0,0.4,sand,drip,groundwater_well,11.5,0
1,62.1,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,53.6,18.0,0.6,sand,drip,groundwater_well,11.5,0
1,49.6,18.0,0.5,sand,drip,groundwater_well,11.5,0
1,49.8,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,43.9,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,38.4,18.0,0.0,sand,drip,groundwater_well,11.5,1
1,35.5,18.0,2.1,sand,drip,groundwater_well,11.5,1
1,55.3,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,54.1,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,55.8,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,49.2,18.0,0.5,sand,drip,groundwater_well,11.5,0
1,44.0,18.0,0.3,sand,drip,groundwater_well,11.5,0
1,43.1,18.0,0.3,sand,drip,groundwater_well,11.5,0
1,41.0,18.0,0.4,sand,drip,groundwater_well,11.5,1
1,63.3,18.0,0.9,sand,drip,groundwater_well,11.5,0
1,59.7,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,49.4,18.0,0.3,sand,drip,groundwater_well,11.5,0
1,54.8,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,54.5,18.0,0.1,sand,drip,groundwater_well,11.5,0
1,48.9,18.0,0.7,sand,drip,groundwater_well,11.5,0
1,41.0,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,40.2,18.0,0.8,sand,drip,groundwater_well,11.5,1
1,34.0,18.0,0.0,sand,drip,groundwater_well,11.5,1
1,33.6,18.0,0.0,sand,drip,groundwater_well,11.5,1
1,62.4,18.0,0.7,sand,drip,groundwater_well,11.5,0
1,57.9,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,53.3,18.0,0.2,sand,drip,groundwater_well,11.5,0
1,46.3,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,46.9,18.0,0.3,sand,drip,groundwater_well,11.5,0
1,40.1,18.0,0.0,sand,drip,groundwater_well,11.5,1
1,63.8,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,58.7,18.0,0.2,sand,drip,groundwater_well,11.5,0
1,54.4,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,56.0,18.0,0.2,sand,drip,groundwater_well,11.5,0
1,54.0,18.0,0.5,sand,drip,groundwater_well,11.5,0
1,52.4,18.0,0.5,sand,drip,groundwater_well,11.5,0
1,42.4,18.0,2.7,sand,drip,groundwater_well,11.5,0
1,52.1,18.0,0.0,sand,drip,groundwater_well,11.5,0
1,44.9,18.0,0.5,sand,drip,groundwater_well,11.5,0
1,46.3,18.0,0.1,sand,drip,groundwater_well,11.5,0
1,76.7,0.0,2.4,sand,drip,groundwater_well,26.4,0
1,,0.0,0.5,sand,drip,groundwater_well,26.4,0
1,74.7,0.0,0.2,sand,drip,groundwater_well,26.4,0
1,74.4,0.0,0.4,sand,drip,groundwater_well,26.4,0
1,73.7,0.0,0.0,sand,drip,groundwater_well,26.4,0
1,70.7,0.0,0.0,sand,drip,groundwater_well,26.4,0
1,69.3,0.0,2.9,sand,drip,groundwater_well,26.4,0
1,74.3,0.0,0.2,sand,drip,groundwater_well,26.4,0
1,70.3,0.0,0.0,sand,drip,groundwater_well,26.4,0
1,69.0,0.0,0.0,sand,drip,groundwater_well,26.4,0
1,66.3,0.0,0.6,sand,drip,groundwater_well,26.4,0
1,62.7,0.0,3.5,sand,drip,groundwater_well,26.4,0
1,65.5,0.0,0.0,sand,drip,groundwater_well,26.4,0
1,64.6,0.0,0.1,sand,drip,groundwater_well,26.4,0
1,58.0,0.0,1.2,sand,drip,groundwater_well,26.4,0
1,62.4,0.0,0.6,sand,drip,groundwater_well,26.4,0
1,59.4,0.0,0.2,sand,drip,groundwater_well,26.4,0
1,61.8,0.0,1.9,sand,drip,groundwater_well,26.4,0
1,61.1,0.0,0.4,sand,drip,groundwater_well,26.4,0
1,59.8,0.0,0.5,sand,drip,groundwater_well,26.4,0
1,60.3,0.0,0.0,sand,drip,groundwater_well,26.4,0
1,61.1,0.0,0.6,sand,drip,groundwater_well,26.4,0
1,56.7,0.0,0.0,sand,drip,groundwater_well,26.4,0
1,49.2,0.0,0.3,sand,drip,groundwater_well,26.4,0
1,52.9,0.0,0.2,sand,drip,groundwater_well,26.4,0
1,47.9,0.0,0.0,sand,drip,groundwater_well,26.4,0
1,47.2,0.0,0.2,sand,drip,groundwater_well,26.4,0
1,47.3,0.0,0.0,sand,drip,groundwater_well,26.4,1
1,68.7,18.0,0.2,sand,drip,groundwater_well,26.4,0
1,64.3,18.0,0.0,sand,drip,groundwater_well,26.4,0
1,56.8,18.0,0.0,sand,drip,groundwater_well,26.4,0
1,57.0,18.0,5.1,sand,drip,groundwater_well,26.4,0
1,57.4,18.0,0.9,sand,drip,groundwater_well,26.4,0
1,57.4,18.0,6.6,sand,drip,groundwater_well,26.4,0
1,57.4,18.0,0.0,sand,drip,groundwater_well,26.4,0
1,57.4,18.0,3.8,sand,drip,groundwater_well,26.4,0
1,57.4,18.0,0.1,sand,drip,groundwater_well,26.4,0
1,57.4,18.0,0.0,sand,drip,groundwater_well,26.4,0
1,57.4,18.0,0.0,sand,drip,groundwater_well,26.4,1
1,57.4,18.0,2.8,sand,drip,groundwater_well,26.4,1
1,57.4,18.0,0.2,sand,drip,groundwater_well,26.4,0
1,68.2,18.0,0.0,sand,drip,groundwater_well,26.4,0
1,60.5,18.0,0.3,sand,drip,groundwater_well,26.4,0
1,53.7,18.0,0.6,sand,drip,groundwater_well,26.4,0
1,50.1,18.0,0.2,sand,drip,groundwater_well,26.4,1
1,44.4,18.0,0.0,sand,drip,groundwater_well,26.4,1
1,62.4,18.0,0.0,sand,drip,groundwater_well,26.4,0
1,60.9,18.0,0.0,sand,drip,groundwater_well,26.4,0
1,50.6,18.0,0.0,sand,drip,groundwater_well,26.4,0
1,45.7,18.0,0.8,sand,drip,groundwater_well,26.4,1
1,50.5,18.0,0.0,sand,drip,groundwater_well,26.4,1
1,39.8,18.0,0.4,sand,drip,groundwater_well,26.4,1
1,55.7,18.0,14.4,sand,drip,groundwater_well,26.4,0
1,68.8,18.0,14.9,sand,drip,groundwater_well,26.4,0
1,90.7,18.0,0.4,sand,drip,groundwater_well,26.4,0
1,81.2,18.0,0.0,sand,drip,groundwater_well,26.4,0
1,75.8,18.0,0.6,sand,drip,groundwater_well,26.4,0
1,75.2,18.0,0.0,sand,drip,groundwater_well,26.4,0
1,72.6,18.0,0.0,sand,drip,groundwater_well,26.4,0
1,67.7,18.0,0.3,sand,drip,groundwater_well,26.4,0
1,61.1,18.0,0.1,sand,drip,groundwater_well,26.4,0
1,59.6,18.0,0.1,sand,drip,groundwater_well,26.4,0
1,50.7,18.0,2.1,sand,drip,groundwater_well,26.4,0
1,44.1,18.0,17.4,sand,drip,groundwater_well,26.4,1
1,67.1,18.0,0.0,sand,drip,groundwater_well,26.4,0
1,58.2,18.0,0.4,sand,drip,groundwater_well,26.4,1
1,50.3,18.0,0.0,sand,drip,groundwater_well,26.4,1
1,65.9,18.0,0.5,sand,drip,groundwater_well,26.4,0
1,63.9,18.0,0.0,sand,drip,groundwater_well,26.4,0
1,52.6,18.0,0.0,sand,drip,groundwater_well,26.4,1
1,46.4,18.0,0.4,sand,drip,groundwater_well,26.4,1
1,68.2,18.0,0.1,sand,drip,groundwater_well,26.4,0
1,52.2,18.0,0.0,sand,drip,groundwater_well,26.4,1
1,73.6,18.0,2.1,sand,drip,groundwater_well,26.4,0
1,68.6,18.0,0.2,sand,drip,groundwater_well,26.4,0
1,67.3,18.0,0.0,sand,drip,groundwater_well,26.4,0
1,52.0,18.0,0.3,sand,drip,groundwater_well,26.4,1
1,46.1,18.0,0.0,sand,drip,groundwater_well,26.4,1
1,62.3,18.0,0.7,sand,drip,groundwater_well,26.4,0
1,47.1,18.0,0.0,sand,drip,groundwater_well,26.4,1
1,36.5,18.0,0.1,sand,drip,groundwater_well,26.4,2
1,55.4,18.0,0.0,sand,drip,groundwater_well,26.4,1
