Partition,Field_Size_ha,Temperature_C,Rainfall_mm,Soil_Humidity_Percent,Water_Demand_Liters
0,4.86,10.5,16.9,49.4,18833.59
1,6.59,34.0,5.7,13.9,49082.76
0,15.99,15.6,20.1,29.1,82700.64
1,4.65,35.6,9.9,57.7,31456.64
0,14.68,28.6,8.2,49.4,81247.97
1,11.7,17.7,3.5,58.5,61928.01
0,4.18,23.9,21.7,53.3,16874.69
1,10.72,15.7,15.1,34.1,60687.93
0,5.66,13.7,0.2,41.1,35200.89
1,11.29,34.4,6.3,22.1,70801.28
0,12.61,14.2,4.3,30.5,71541.57
1,13.91,15.8,16.1,48.1,69115.05
0,10.47,26.7,9.5,37.1,60684.91
1,10.42,14.9,19.6,38.2,58429.93
0,14.31,18.3,19.7,20.5,76814.61
1,2.15,20.8,24.5,54.9,10733.92
0,14.66,34.0,0.4,27.7,87629.44
1,16.19,36.8,16.2,31.8,88825.09
0,18.53,26.2,24.0,33.1,99163.91
1,1.45,21.2,5.4,12.4,21239.03
0,13.28,10.8,14.7,47.6,64785.74
1,13.53,12.1,10.0,57.8,64563.21
0,3.78,11.7,2.8,25.1,31131.07
1,19.6,14.2,8.6,43.3,102496.29
0,2.64,36.0,4.8,37.3,32072.26
1,15.69,28.0,10.8,29.4,87910.95
0,1.05,24.6,4.4,28.4,15283.77
1,10.55,13.2,0.6,48.8,59451.7
0,4.3,33.4,12.6,27.1,35716.03
1,18.22,18.2,10.2,35.5,98335.76
0,13.72,29.6,21.2,27.9,79424.05
1,9.11,24.9,3.7,53.0,50933.55
0,2.37,34.5,22.1,29.0,19947.29
1,7.65,24.4,6.9,11.6,55147.17
0,9.61,12.3,3.3,10.1,63793.91
1,1.94,30.1,15.7,43.7,20195.15
0,9.21,11.4,9.1,47.3,46210.57
1,16.43,32.2,15.8,39.0,91289.04
0,17.55,23.5,10.0,22.6,100757.11
1,1.47,37.4,18.4,37.4,15124.96
0,10.36,36.6,14.8,50.2,64182.46
1,9.98,16.3,17.7,49.0,54392.93
0,4.36,17.9,17.6,41.4,22525.99
1,14.02,37.3,14.9,18.9,89190.96
0,6.6,28.1,10.1,17.7,49373.55
1,17.98,13.1,1.4,50.1,99845.92
0,8.31,33.1,24.7,30.6,49094.85
1,13.95,24.4,2.3,43.1,83756.99
0,13.09,13.3,8.4,54.8,67896.82
1,17.46,14.1,8.1,15.6,102172.47
0,8.32,31.2,2.4,32.3,57931.0
1,7.91,28.5,12.0,56.5,45139.02
0,8.48,31.3,6.4,35.3,56550.73
1,18.34,19.7,5.9,46.7,97484.71
0,8.9,22.1,9.7,13.0,60098.89
1,15.46,27.1,6.9,57.7,81952.81
0,14.14,37.6,22.5,42.8,75696.67
1,10.98,31.9,12.1,54.2,64300.27
0,3.08,34.0,22.0,42.6,19006.36
1,4.88,30.2,1.3,30.5,37211.1
0,7.48,21.0,16.6,43.8,40107.77
1,14.48,35.8,20.9,28.8,85153.28
0,10.49,29.0,1.3,58.7,61719.1
1,6.08,10.6,5.0,59.4,26580.74
0,13.02,28.6,1.6,42.9,76480.49
1,5.77,31.3,15.8,27.8,43078.25
0,8.52,22.6,10.5,35.5,55590.09
1,18.63,19.4,21.8,57.2,91724.09
0,3.71,14.5,5.6,41.1,29488.49
1,10.19,34.2,0.3,11.9,75735.3
0,15.96,32.0,1.3,45.8,87350.51
1,12.55,21.2,16.3,48.8,65843.62
0,14.17,19.3,9.1,28.2,79162.17
1,11.56,20.6,19.0,53.0,58048.71
0,8.52,27.1,16.7,25.6,54248.66
1,9.25,29.4,17.6,32.8,58337.3
0,11.75,11.3,5.4,29.7,64725.52
1,17.23,11.6,23.0,15.9,93165.42
0,3.96,23.3,5.4,11.4,40290.51
1,16.93,33.8,22.1,15.0,100954.63
0,4.24,10.8,2.2,15.5,33889.87
1,11.16,13.9,17.1,11.2,68678.57
0,15.68,28.9,11.9,58.9,82009.72
1,9.36,14.9,15.2,28.1,52576.43
0,3.5,23.1,19.5,16.3,30818.36
1,17.9,13.1,19.6,37.2,90358.1
0,9.32,18.9,6.9,56.4,49549.84
1,16.97,16.9,5.0,34.6,93294.83
0,17.55,11.3,13.4,29.2,92142.01
1,4.15,18.5,22.3,59.7,16198.12
0,3.65,28.4,0.7,46.6,23554.37
1,8.36,14.7,3.2,49.4,48224.71
0,3.13,19.5,22.4,54.2,12653.28
1,16.26,25.0,18.4,51.3,85732.68
0,4.98,12.4,8.0,33.1,35254.36
1,14.32,16.3,21.5,35.1,77104.43
0,17.81,14.0,3.8,32.3,100037.9
1,8.61,24.9,23.9,39.8,48549.78
0,8.44,34.9,1.5,17.5,62394.04
1,12.72,25.6,24.2,16.5,71847.05
0,8.17,28.1,7.5,49.1,51277.35
1,3.64,22.8,6.1,45.8,25023.28
0,17.6,16.9,13.4,12.8,103794.12
1,15.7,14.7,18.9,41.2,79414.2
0,16.98,17.4,21.2,20.1,89399.54
1,9.2,31.3,4.0,49.8,52953.13
0,8.8,11.8,12.2,19.7,51629.36
1,9.93,11.5,8.8,28.6,63558.26
0,19.79,33.7,10.4,26.0,114099.99
1,13.41,12.7,20.6,14.4,73827.24
0,0.95,26.2,13.2,43.8,11276.69
1,10.31,35.8,5.5,28.4,70226.03
0,3.83,30.1,20.8,48.7,19631.89
1,10.51,28.1,22.0,24.0,57948.97
0,7.59,29.2,21.2,11.0,54346.6
1,2.42,18.5,24.4,45.2,15245.1
0,0.54,14.0,22.9,32.4,7699.98
1,15.62,16.0,23.9,17.7,85855.45
0,17.97,15.3,9.2,45.8,92342.07
1,8.23,25.5,17.6,11.9,53678.07
0,15.86,11.0,22.2,13.5,85993.03
1,0.94,10.3,2.5,46.5,7998.4
0,9.61,35.5,13.0,32.0,55323.98
1,12.16,13.8,7.5,33.4,67857.25
0,9.76,33.2,22.4,14.2,59684.97
1,6.85,23.9,9.9,57.2,37180.48
0,4.51,35.1,9.9,14.5,39237.89
1,11.09,13.6,6.7,10.3,66575.33
0,11.67,31.7,16.6,59.7,59596.51
1,9.59,37.8,6.3,32.8,61647.7
0,12.79,13.3,24.4,15.1,72420.82
1,11.19,24.1,3.0,32.0,68680.73
0,16.02,35.5,4.4,18.9,95089.88
1,7.09,31.5,3.3,47.5,49191.45
0,5.1,12.5,1.7,28.4,38950.1
1,18.46,24.2,9.4,30.4,105919.31
0,13.76,26.7,21.6,14.3,84341.66
1,3.85,26.3,11.7,43.4,24676.78
0,13.46,19.5,4.3,19.7,76987.2
1,4.03,20.4,15.0,13.3,31149.21
0,3.89,20.2,14.1,28.6,25585.57
1,19.42,29.1,2.2,40.9,107456.56
0,5.9,12.5,24.1,19.8,34437.64
1,6.55,36.9,12.6,53.6,39071.14
0,11.34,17.9,19.1,42.4,57922.14
1,16.34,14.2,23.9,46.0,80900.56
0,2.22,10.8,24.6,37.1,8215.27
1,18.3,19.4,22.4,41.9,92149.88
0,4.63,10.0,16.5,16.0,24429.63
1,12.88,21.9,1.1,41.4,74660.07
0,5.8,20.9,15.8,13.0,41188.01
1,14.39,13.8,24.9,19.2,78963.87
0,15.51,17.5,5.2,38.6,89564.23
1,4.03,10.7,12.6,18.2,26774.44
0,7.81,33.2,23.4,55.4,40437.22
1,1.99,28.6,17.8,55.5,14629.12
0,7.94,26.6,9.7,29.1,57763.87
1,13.11,20.5,23.3,11.2,68405.56
0,7.67,24.5,16.7,54.6,39682.17
1,18.24,11.8,0.0,58.6,94160.77
0,2.15,18.2,16.0,54.2,8468.66
1,6.39,23.1,3.5,30.2,42064.65
0,10.62,37.5,13.7,50.4,56871.31
1,17.41,13.9,20.4,27.8,92451.15
0,1.81,12.2,4.6,54.6,13362.41
1,1.65,33.5,22.1,54.7,13436.86
0,19.93,31.1,0.2,46.1,110657.05
1,5.64,16.0,19.5,54.5,27551.93
0,13.18,35.1,10.7,35.9,74114.14
1,2.76,14.0,21.1,53.0,9770.95
0,15.9,36.5,24.2,54.9,82293.35
1,13.88,24.2,21.9,59.5,67566.42
0,5.83,19.3,6.9,22.4,45337.43
1,10.47,19.7,21.1,17.4,64113.28
0,12.74,34.9,13.3,14.9,77693.0
1,14.52,15.5,20.5,19.2,78527.65
0,14.87,29.4,14.5,53.2,82102.73
1,1.3,13.3,5.1,14.0,21820.05
0,5.62,18.9,15.0,55.7,27373.08
1,12.28,28.9,3.2,51.8,68272.97
0,11.88,34.2,21.2,37.6,69139.57
1,17.56,37.4,17.7,53.0,90938.49
0,11.09,35.6,23.6,42.7,60348.48
1,5.03,17.0,9.3,58.3,23389.53
0,18.26,11.5,10.6,11.3,103473.0
1,10.67,18.5,18.3,18.3,56842.27
0,19.7,29.0,16.4,27.9,109178.89
1,17.49,11.2,9.3,36.3,93798.46
0,15.22,15.1,6.0,35.9,83089.55
1,16.01,16.1,8.9,41.5,79669.07
0,18.33,26.3,12.6,51.2,97308.88
1,4.09,13.1,16.8,54.1,18667.17
0,7.03,13.7,16.6,28.0,43438.97
1,2.37,12.3,17.3,54.6,7260.17
0,15.1,15.8,13.3,44.0,80169.72
1,14.08,27.3,24.6,31.0,79213.35
0,2.53,32.2,12.3,16.8,24968.2
1,17.08,29.1,0.7,53.0,97295.46
0,2.25,30.7,14.8,19.7,27545.72
1,10.9,27.1,15.3,34.3,64518.64
0,9.71,19.8,8.3,43.6,56118.51
1,12.19,36.1,17.6,33.4,70582.41
0,8.99,10.6,7.5,53.6,47949.92
1,16.95,35.8,9.1,44.9,93353.56
0,1.63,12.4,23.7,45.8,1582.81
1,12.89,27.0,22.6,43.1,66785.0
0,4.9,20.9,4.0,32.6,39150.16
1,4.95,21.7,6.8,34.7,39053.17
0,11.06,28.4,1.1,52.4,67023.82
1,10.74,29.9,23.0,45.3,61795.67
0,1.53,18.1,16.1,49.6,7808.56
1,2.94,11.1,22.1,26.0,21477.88
0,3.52,18.6,17.1,18.2,28473.84
1,19.1,15.6,4.2,14.8,107793.42
0,10.62,35.0,12.7,54.0,59666.61
1,11.7,16.0,0.8,30.8,70950.46
0,8.55,29.7,10.6,45.4,53487.19
1,18.4,13.0,6.7,25.5,101353.69
0,7.2,29.7,23.6,52.4,34690.27
1,16.16,12.6,10.7,36.2,87228.91
0,6.55,30.2,6.4,42.0,38300.69
1,2.99,29.0,16.0,56.9,19986.18
0,8.57,18.0,18.7,54.0,39425.02
1,3.11,21.5,19.5,50.5,19239.33
0,2.13,35.8,13.4,31.1,24985.2
1,6.73,20.2,9.5,11.5,49694.88
0,9.16,17.4,17.4,33.1,50235.29
1,3.21,26.1,18.5,57.1,18270.99
0,15.55,27.0,23.2,29.6,82700.17
1,10.31,29.5,20.8,17.8,57417.24
0,15.48,18.6,14.1,26.9,87582.45
1,1.86,21.5,19.1,21.0,13357.06
0,9.45,35.0,24.9,21.0,53845.14
1,3.58,33.2,9.5,33.6,33108.66
0,6.9,16.5,3.4,59.2,37386.63
1,16.89,26.9,22.5,33.8,91992.55
0,11.25,18.9,11.2,57.7,58552.23
1,4.55,15.8,10.0,16.2,36275.66
0,1.86,24.5,7.7,34.6,20919.91
1,12.78,30.9,0.9,28.0,83448.43
0,2.32,20.2,13.8,48.4,10735.27
1,18.84,36.2,24.5,51.9,95882.38
0,10.37,30.3,23.6,14.0,65466.66
1,7.11,37.7,7.1,36.1,53953.33
0,14.67,28.2,23.1,51.4,71710.94
1,6.66,17.2,22.3,54.0,34803.2
0,12.99,13.7,1.3,48.4,73541.46
1,16.56,25.4,12.8,22.8,92364.64
0,19.12,37.5,12.7,18.8,112952.3
1,17.46,13.0,2.2,17.6,104210.9
0,14.43,35.8,12.5,29.6,83106.69
1,15.4,36.9,6.9,54.5,86335.19
0,10.6,32.9,22.0,13.7,64993.0
1,6.48,10.1,13.7,23.3,37490.01
0,9.18,28.4,13.4,13.1,60964.4
1,9.82,15.9,19.4,58.0,47186.36
0,16.34,27.9,19.4,57.4,79675.27
1,3.59,34.7,16.2,48.9,24106.54
0,11.68,34.9,20.4,16.3,72720.64
1,3.26,30.4,17.3,27.3,27447.5
0,13.84,21.4,6.7,58.7,78868.54
1,0.63,34.2,19.1,24.4,19048.47
0,14.26,21.9,11.8,42.1,72688.58
1,3.87,11.4,19.5,36.9,25814.49
0,1.55,22.2,1.9,14.5,25380.37
1,3.71,10.3,21.6,54.5,10396.32
0,4.18,33.5,4.7,42.9,32663.79
1,12.62,34.2,19.7,44.0,70298.79
0,16.93,34.4,9.0,53.2,93102.96
1,8.04,18.0,13.4,42.9,43743.76
0,14.97,33.3,13.5,25.1,92323.82
1,15.82,32.0,22.9,36.7,83079.53
0,3.07,27.7,7.1,28.0,26680.88
1,16.9,10.2,2.2,11.6,100483.13
0,1.4,16.4,15.1,57.2,3642.53
1,11.97,25.2,8.8,59.9,65831.77
0,14.65,13.0,4.9,24.3,87037.56
1,19.82,27.7,6.4,26.7,116266.34
0,10.81,14.0,19.8,17.1,61235.52
1,18.22,28.1,8.9,17.3,106602.54
0,15.75,25.1,23.7,12.2,88436.66
1,2.79,18.9,18.9,46.8,16542.86
0,11.27,35.4,24.6,32.9,62407.72
1,4.41,34.1,9.7,20.9,40059.37
0,16.89,26.1,3.3,39.9,93223.05
1,18.78,32.4,19.8,48.0,99631.11
0,17.57,13.7,9.4,35.2,92222.39
1,12.71,32.7,10.3,41.3,77803.91
0,0.95,37.3,2.6,22.4,28736.18
1,10.53,20.2,19.3,58.8,48015.24
0,11.32,19.5,4.8,24.4,67465.58
1,5.48,37.8,8.3,57.0,39043.13
0,12.82,25.7,22.6,12.1,73138.17
1,7.9,21.7,4.7,58.4,43267.26
0,16.22,20.9,23.9,57.3,77477.46
1,10.93,30.7,9.3,25.8,66196.44
0,12.34,26.7,8.1,57.5,71093.3
1,10.06,14.2,24.6,28.9,51197.96
0,19.54,14.9,24.8,31.9,96495.97
1,9.0,12.4,17.3,25.0,50967.84
0,16.8,30.4,14.5,12.8,101941.1
1,16.09,33.8,18.4,49.8,89373.07
0,15.79,37.4,20.0,55.6,80321.89
1,8.87,24.3,1.2,54.0,50961.61
0,11.46,34.5,20.7,40.0,64816.39
1,4.63,11.0,0.6,17.0,38331.36
0,7.22,30.8,13.2,56.4,42665.08
1,7.44,20.1,17.1,28.1,44699.72
0,6.6,17.0,12.3,41.2,40916.72
1,9.71,36.8,5.4,51.7,59414.56
0,7.39,21.2,6.0,34.5,45313.91
1,9.78,11.7,4.2,25.4,64224.16
0,16.71,29.4,6.8,16.5,97561.97
1,11.68,13.1,5.6,20.2,70796.85
0,7.25,15.9,17.8,17.6,42075.91
1,19.23,37.7,12.0,38.7,109293.41
0,4.92,34.5,2.8,19.6,41993.98
1,6.55,37.8,2.9,51.4,49952.68
0,6.99,18.8,18.5,34.0,43303.42
1,7.9,11.8,2.1,54.4,43028.31
0,3.35,29.7,8.8,19.2,34416.73
1,4.25,25.7,21.4,58.2,16902.63
0,11.58,23.7,11.3,13.3,71111.29
1,5.1,21.6,7.4,46.9,29316.8
0,10.82,15.9,18.4,44.4,56711.6
1,10.07,32.1,18.1,31.4,61644.04
0,19.51,24.1,13.5,35.0,104301.81
1,9.31,18.3,17.9,14.5,59884.96
0,3.7,33.9,5.1,24.0,36465.84
1,18.97,27.4,21.2,40.6,98802.66
0,6.67,30.2,24.5,17.9,44865.36
1,4.35,15.1,0.7,31.5,31785.99
0,5.67,26.7,17.7,34.5,38699.56
1,13.83,10.5,17.7,14.3,76830.56
0,16.12,14.8,11.4,56.6,79029.52
1,12.13,34.7,24.7,40.0,65108.7
0,12.0,24.1,0.6,30.5,75536.74
1,8.28,22.3,19.6,15.9,54240.68
0,18.93,22.0,10.3,26.4,108165.45
1,17.25,27.2,21.4,45.5,91814.0
0,6.24,20.8,0.7,20.3,45031.96
1,3.64,26.2,9.4,16.1,34221.59
0,15.75,14.6,11.8,32.9,85687.48
1,19.16,14.5,14.7,53.0,93426.32
0,15.13,13.4,4.2,39.7,86136.52
1,12.25,23.2,24.4,39.7,65186.84
0,12.77,12.0,11.6,50.4,68708.14
1,12.89,36.0,11.4,29.6,82752.01
0,8.94,17.0,21.4,42.5,44920.62
1,5.18,32.1,21.1,29.1,38699.38
0,8.36,35.2,21.3,25.7,50644.1
1,7.03,25.0,16.4,14.4,50677.09
0,8.53,30.6,4.3,45.6,54649.64
1,18.54,20.8,23.6,30.5,98736.52
0,1.65,31.5,8.5,13.9,26791.07
1,2.24,11.5,8.1,43.0,13062.68
0,8.56,27.9,22.5,54.3,45178.17
1,18.94,21.1,11.4,42.7,98652.32
0,19.64,14.4,10.8,37.5,102479.82
1,4.61,22.7,12.3,19.9,32010.32
0,17.57,17.6,17.3,48.3,93712.19
1,17.87,13.2,19.6,29.6,97135.1
0,10.48,37.7,4.8,58.9,62289.74
1,8.38,16.1,15.2,51.7,42419.57
0,6.2,22.8,21.9,28.7,36190.26
1,7.82,16.5,9.7,42.8,48413.85
0,7.3,19.5,9.5,55.0,40348.53
1,19.44,23.7,18.5,52.1,99608.32
0,3.93,11.6,7.6,30.5,33028.56
1,5.44,24.7,19.5,54.2,27087.14
0,9.45,20.8,2.7,58.2,51685.56
1,11.71,15.2,23.8,30.5,61778.66
0,4.6,33.8,19.3,11.0,40222.78
1,18.32,12.7,5.9,14.1,101965.02
0,12.23,21.6,22.6,14.9,70054.77
1,14.08,21.6,20.1,31.0,77169.85
0,8.01,11.3,24.1,57.9,36565.59
1,4.42,10.3,19.6,40.3,24103.59
0,5.74,17.8,5.0,53.7,26147.36
1,1.5,26.1,1.4,44.3,21267.94
0,12.82,22.0,12.4,20.8,73608.99
1,1.26,21.6,0.5,11.6,26804.18
0,9.13,26.0,10.4,53.5,49367.08
1,5.19,20.9,9.8,42.7,33181.83
0,10.55,14.8,21.7,11.1,58079.32
1,17.97,25.5,7.9,24.7,104715.47
0,17.97,33.1,8.4,26.9,109841.5
1,6.76,27.0,16.7,11.4,46881.58
0,7.26,31.3,10.4,32.3,47695.58
1,13.84,24.7,6.8,10.2,87518.0
0,3.24,22.7,13.6,32.3,22211.93
1,19.34,23.0,23.7,13.4,107038.76
0,14.93,16.0,12.7,43.1,77546.44
1,7.91,36.3,1.1,51.2,49559.58
0,18.06,14.4,5.6,41.0,94614.42
1,8.68,36.0,1.2,46.5,57062.05
0,13.71,33.4,1.8,21.9,92011.11
1,6.07,34.6,3.3,19.3,52321.54
0,9.96,28.8,7.2,55.7,57457.7
1,14.75,29.2,12.3,59.5,81654.54
0,0.58,31.9,8.3,44.2,15430.31
1,9.96,15.5,10.5,42.5,57635.64
0,9.97,36.4,7.5,58.7,58830.49
1,16.16,10.9,4.3,32.8,92630.07
0,7.17,15.3,1.3,46.0,43437.44
1,7.89,30.0,22.9,11.1,52637.83
0,4.6,34.1,15.1,57.6,27483.08
1,12.41,19.5,14.1,25.3,70324.51
0,15.89,15.2,12.5,50.7,81124.96
1,6.34,28.0,10.0,33.1,41130.1
0,3.49,11.2,7.5,34.6,23306.99
1,0.83,24.1,22.3,22.8,12064.73
0,5.14,20.1,9.5,35.9,29274.91
1,17.13,27.0,7.8,42.4,95373.45
0,16.68,11.8,14.8,48.4,84594.97
1,17.03,11.9,20.7,58.9,82061.61
0,17.47,30.6,0.5,20.5,106703.75
1,5.44,11.4,22.9,52.0,22739.43
0,17.25,31.8,23.3,57.1,90916.65
1,18.79,31.0,1.1,13.4,111878.54
0,0.76,24.1,12.3,39.7,10315.31
1,1.59,28.3,16.9,18.6,23309.17
0,3.94,13.0,9.0,22.1,31756.68
1,7.05,28.1,12.1,18.5,44270.9
0,17.09,30.7,20.2,22.3,93324.46
1,4.88,32.5,19.7,36.4,32233.94
0,5.78,21.9,17.7,46.1,31552.97
1,15.13,22.7,8.0,46.3,82347.25
0,7.04,23.9,2.7,30.5,45477.68
1,2.13,22.9,11.0,47.6,15310.01
0,6.55,22.4,7.2,17.9,45429.66
1,17.16,10.1,15.3,25.1,90195.76
0,7.89,15.7,17.9,57.0,35383.25
1,10.67,19.6,24.4,10.6,67389.75
0,18.46,17.1,11.8,38.2,102728.85
1,14.34,12.1,22.2,20.7,72986.51
0,10.05,14.6,2.4,35.1,63902.46
1,10.78,23.8,25.0,26.9,55100.06
0,18.72,32.9,13.6,59.6,92024.3
1,6.08,15.1,19.1,48.8,31472.0
0,0.69,17.9,4.2,41.9,15780.5
1,18.78,12.4,8.3,53.1,91687.04
0,14.62,25.9,19.8,52.1,74744.92
1,8.52,14.7,2.1,17.6,57686.25
0,18.44,11.7,1.2,27.7,104970.57
1,13.02,38.0,2.4,31.7,81540.11
0,7.7,29.0,1.1,24.5,56329.14
1,10.53,23.8,14.9,26.5,62610.3
0,6.78,18.2,23.5,20.8,39500.59
1,10.66,19.8,19.2,18.3,64679.04
0,13.58,32.5,20.5,16.4,79204.43
1,17.93,12.7,10.7,21.9,99864.01
0,6.52,16.5,15.8,12.5,38795.13
1,5.72,34.6,6.5,52.3,37839.8
0,5.36,21.5,16.7,47.6,31282.49
1,19.53,34.2,22.7,52.7,99651.93
0,11.11,11.9,22.2,17.7,56724.64
1,14.51,29.7,1.0,16.1,92656.54
0,1.56,10.6,5.0,27.7,15909.21
1,18.97,32.1,24.9,18.6,99980.51
0,19.38,36.8,9.4,17.3,113372.78
1,16.94,19.7,14.8,32.5,88492.07
0,18.81,30.9,20.5,52.7,97711.63
1,15.03,27.8,25.0,58.8,78139.3
0,4.21,36.8,0.2,17.3,42647.1
1,14.77,29.7,19.5,28.3,81289.45
0,16.38,35.4,4.6,17.2,99731.87
1,14.09,33.8,23.0,28.3,77077.54
0,2.06,35.5,12.7,39.5,17696.65
1,2.32,34.7,9.5,55.8,18488.42
0,2.84,33.2,14.4,39.8,21877.36
1,7.45,35.2,24.2,51.3,45368.43
0,12.19,10.3,23.0,52.1,54922.08
1,2.02,27.0,21.8,16.8,19364.27
0,6.18,19.4,12.0,53.5,33854.14
1,14.21,22.8,7.7,28.7,84217.07
0,4.16,20.9,1.9,42.7,31846.77
1,6.9,27.0,7.4,26.2,49518.97
0,18.36,31.1,24.8,15.5,103451.22
1,16.78,14.5,16.3,37.0,89226.2
0,15.3,36.9,8.6,52.2,84724.94
1,18.8,17.0,22.3,48.1,92154.5
0,4.3,22.7,19.1,36.5,21416.57
1,9.8,27.7,11.5,19.7,59122.98
